Category,Title,Price,Brand,Memory Size,Memory Type,Chipset/GPU Model,Connectors,Collection Date
Graphics Cards,Placa de Vídeo SAPPHIRE Pulse Radeon RX 580 8GB GDDR5,8325.0,SAPPHIRE,8,GDDR5,AMD Radeon RX 580,"DisplayPort, DVI-D, HDMI",2025-01-27 12:02:18
Graphics Cards,Placa de vídeo gráfica Gigabyte NVIDIA GeForce GTX 980 4 GB GDDR5 Windforce 3X OC,6668.0,GIGABYTE,4,GDDR5,NVIDIA GeForce GTX 980,"DisplayPort, DVI, HDMI",2025-01-27 12:04:07
Graphics Cards,*Atualizado* - RX 580 8GB GPU - 2048SP - reciclado - Agora novo suporte de E/S padrão para PC,3769.0,ATI,8,GDDR5,AMD Radeon RX 580,HDMI,2025-01-27 12:01:16
Graphics Cards,Placa de Vídeo Sapphire Pulse AMD Radeon RX 6400 4GB GDDR6-,14065.0,SAPPHIRE,4,GDDR6,AMD Radeon RX 6400,"DisplayPort, HDMI",2025-01-27 12:02:02
Graphics Cards,Placa de Vídeo EVGA GeForce RTX 3070 XC3 Ultra 8GB GDDR6 08G-P5-3755-KR *LEIA*,26673.0,EVGA,8,GDDR6,NVIDIA GeForce RTX 3070,,2025-01-27 12:01:19
Graphics Cards,Placa aceleradora gráfica NVIDIA Tesla T4 16GB GDDR6 PCI-E 3.0 x16,47633.0,NVIDIA,16,GDDR6,NVIDIA Tesla T4,,2025-01-27 12:04:07
Graphics Cards,Placa gráfica Nvidia Tesla P4 8GB GPU ambos os suportes GDDR5 900-2G414-6300-000,9751.0,NVIDIA,8,GDDR5,NVIDIA Tesla P4,,2025-01-27 12:03:58
Graphics Cards,NVIDIA QUADRO M2000 4GB GDDR5 128 bit Graphics Card - Used but Like New !!!,6490.0,GCSUPERMARKET,6,N/A,NO,,2025-01-27 12:04:13
Graphics Cards,Placa de Vídeo Zotac NVIDIA GeForce RTX 4060 Twin Edge 8GB GDDR6,27151.0,Not Available,8,GDDR6,3Ddlabs wildcat II 5110,,2025-01-27 12:01:41
Graphics Cards,Placa de Vídeo PALIT KalmX RTX 3050 6GB Fanless NE63050018JE-1070H FedEx/ DHL-,24900.0,GCSUPERMARKET,8,N/A,NO,,2025-01-27 12:03:33
Graphics Cards,Placa de vídeo gráfica para jogos Nvidia Geforce GTX 1650 Super 4GB GPU (L83811-001),11431.0,HP,4,GDDR6,NVIDIA GeForce GTX 1650 Super,HDMI,2025-01-27 12:01:19
Graphics Cards,"Placa de Vídeo Gráfica Apple Mac Pro 3,1 4,1 5,1 nVidia GTX 680 2GB Mojave (Metal)-",7495.0,GCSUPERMARKET,6,N/A,NO,,2025-01-27 12:02:24
Graphics Cards,"Apple Mac Pro 1,1 2,1 3,1 4,1 5,1 2006-2012 Radeon HD 5870 1GB Graphics card",20000.0,GCSUPERMARKET,7,N/A,NO,,2025-01-27 12:02:09
